Date,Day,Occasion_English,Occasion_Gujarati,Category,Cultural_Context,Visual_Mood,Priority,Message_English,Message_Gujarati,Illustration_Prompt,Palette,Style,Season,Language,Approval_Status,Version,Record_Type
2026-01-17,Saturday,Kindness Day,દયાનો દિવસ,Social Values,Indian,Compassion,3,A small act of kindness can become the part of someone's day they remember most.,દયાનો નાનો કાર્ય કોઈના દિવસની સૌથી યાદગાર ક્ષણ બની શકે છે.,Premium greeting-card artwork for Kindness Day; cultural context: Indian; mood: Compassion; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Lotus Pink,Royal Greeting,Winter,EN+GU,Draft,1.0,Evergreen
2026-01-18,Sunday,Discipline Day,શિસ્ત દિવસ,Work Ethics,Indian,Determination,3,Discipline turns good intentions into steady progress.,શિસ્ત સારા ઇરાદાઓને સતત પ્રગતિમાં બદલે છે.,Premium greeting-card artwork for Discipline Day; cultural context: Indian; mood: Determination; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Midnight Indigo,Modern Editorial,Winter,EN+GU,Draft,1.0,Evergreen
2026-01-19,Monday,Family Values Day,પરિવાર મૂલ્યો દિવસ,Family,Indian,Affection,3,"A strong family is built through time, respect and the willingness to listen.","મજબૂત પરિવાર સમય, સન્માન અને એકબીજાને સાંભળવાની તૈયારીથી બને છે.",Premium greeting-card artwork for Family Values Day; cultural context: Indian; mood: Affection; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Lotus Pink,Royal Greeting,Winter,EN+GU,Draft,1.0,Evergreen
2026-01-20,Tuesday,Service Day,સેવાનો દિવસ,Social Responsibility,Indian,Service,3,Service becomes noble when it is offered with humility rather than recognition in mind.,"સેવા ત્યારે મહાન બને છે જ્યારે તે પ્રસિદ્ધિ માટે નહીં, પરંતુ વિનમ્રતાથી કરવામાં આવે.",Premium greeting-card artwork for Service Day; cultural context: Indian; mood: Service; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Royal Saffron,Classic Heritage,Winter,EN+GU,Draft,1.0,Evergreen
2026-01-21,Wednesday,Patience Day,ધીરજ દિવસ,Everyday Inspiration,Indian,Calm,3,Patience is not inaction; it is steady effort without unnecessary anxiety.,ધીરજ નિષ્ક્રિયતા નથી; તે અનાવશ્યક ચિંતા વિના સતત પ્રયત્ન છે.,Premium greeting-card artwork for Patience Day; cultural context: Indian; mood: Calm; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Monsoon Green,Spiritual Serenity,Winter,EN+GU,Draft,1.0,Evergreen
2026-01-22,Thursday,Unity Day,એકતા દિવસ,Indian Values,Indian,Unity,3,Differences become strength when people work together with mutual respect.,લોકો પરસ્પર સન્માનથી સાથે કામ કરે ત્યારે ભિન્નતા શક્તિ બની જાય છે.,Premium greeting-card artwork for Unity Day; cultural context: Indian; mood: Unity; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Royal Saffron,Classic Heritage,Winter,EN+GU,Draft,1.0,Evergreen
2026-01-23,Friday,Vasant Panchami • Parakram Diwas,વસંત પંચમી • પરાક્રમ દિવસ,Festival and National,Indian,Wisdom,1,"Let the meaning of Vasant Panchami • Parakram Diwas guide us toward responsibility, respect and thoughtful action.","વસંત પંચમી • પરાક્રમ દિવસનો અર્થ આપણને જવાબદારી, સન્માન અને વિચારપૂર્વકના કાર્ય તરફ દોરી જાય.",Premium greeting-card artwork for Vasant Panchami • Parakram Diwas; cultural context: Indian; mood: Wisdom; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Royal Saffron,Classic Heritage,Winter,EN+GU,Draft,1.0,Named Occasion
2026-01-24,Saturday,National Girl Child Day • International Day of Education,રાષ્ટ્રીય બાળિકા દિવસ • આંતરરાષ્ટ્રીય શિક્ષણ દિવસ,Social and Education,Indian,Empowerment,1,"Let the meaning of National Girl Child Day • International Day of Education guide us toward responsibility, respect and thoughtful action.","રાષ્ટ્રીય બાળિકા દિવસ • આંતરરાષ્ટ્રીય શિક્ષણ દિવસનો અર્થ આપણને જવાબદારી, સન્માન અને વિચારપૂર્વકના કાર્ય તરફ દોરી જાય.",Premium greeting-card artwork for National Girl Child Day • International Day of Education; cultural context: Indian; mood: Empowerment; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Lotus Pink,Modern Editorial,Winter,EN+GU,Draft,1.0,Named Occasion
2026-01-25,Sunday,National Voters' Day,રાષ્ટ્રીય મતદાતા દિવસ,Civic,Indian,Responsibility,1,"Let the meaning of National Voters' Day guide us toward responsibility, respect and thoughtful action.","રાષ્ટ્રીય મતદાતા દિવસનો અર્થ આપણને જવાબદારી, સન્માન અને વિચારપૂર્વકના કાર્ય તરફ દોરી જાય.",Premium greeting-card artwork for National Voters' Day; cultural context: Indian; mood: Responsibility; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Heritage Sandstone,Classic Heritage,Winter,EN+GU,Draft,1.0,Named Occasion
2026-01-26,Monday,Republic Day,પ્રજાસત્તાક દિવસ,National,Indian,Pride,1,A Constitution gives a nation its structure; responsible citizens give it strength.,બંધારણ રાષ્ટ્રને માળખું આપે છે; જવાબદાર નાગરિકો તેને શક્તિ આપે છે.,Premium greeting-card artwork for Republic Day; cultural context: Indian; mood: Pride; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Royal Saffron,Classic Heritage,Winter,EN+GU,Draft,1.0,Named Occasion
2026-01-27,Tuesday,Holocaust Remembrance Day,હોલોકોસ્ટ સ્મૃતિ દિવસ,International Observance,Global,Reflection,1,"Let the meaning of Holocaust Remembrance Day guide us toward responsibility, respect and thoughtful action.","હોલોકોસ્ટ સ્મૃતિ દિવસનો અર્થ આપણને જવાબદારી, સન્માન અને વિચારપૂર્વકના કાર્ય તરફ દોરી જાય.",Premium greeting-card artwork for Holocaust Remembrance Day; cultural context: Global; mood: Reflection; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Midnight Indigo,Modern Editorial,Winter,EN+GU,Draft,1.0,Named Occasion
2026-01-28,Wednesday,Learning Day,શીખવાનો દિવસ,Education,Indian,Wisdom,3,Every person we meet and every difficulty we face can become a teacher.,અપણે મળતા દરેક વ્યક્તિ અને સામનો કરતી દરેક મુશ્કેલી એક શિક્ષક બની શકે છે.,Premium greeting-card artwork for Learning Day; cultural context: Indian; mood: Wisdom; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Peacock Royal,Modern Editorial,Winter,EN+GU,Draft,1.0,Evergreen
2026-01-29,Thursday,Kindness Day,દયાનો દિવસ,Social Values,Indian,Compassion,3,A small act of kindness can become the part of someone's day they remember most.,દયાનો નાનો કાર્ય કોઈના દિવસની સૌથી યાદગાર ક્ષણ બની શકે છે.,Premium greeting-card artwork for Kindness Day; cultural context: Indian; mood: Compassion; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Lotus Pink,Royal Greeting,Winter,EN+GU,Draft,1.0,Evergreen
2026-01-30,Friday,Martyrs' Day,શહીદ દિવસ,National Remembrance,Indian,Reflection,1,"Let the meaning of Martyrs' Day guide us toward responsibility, respect and thoughtful action.","શહીદ દિવસનો અર્થ આપણને જવાબદારી, સન્માન અને વિચારપૂર્વકના કાર્ય તરફ દોરી જાય.",Premium greeting-card artwork for Martyrs' Day; cultural context: Indian; mood: Reflection; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Heritage Sandstone,Classic Heritage,Winter,EN+GU,Draft,1.0,Named Occasion
2026-01-31,Saturday,Family Values Day,પરિવાર મૂલ્યો દિવસ,Family,Indian,Affection,3,"A strong family is built through time, respect and the willingness to listen.","મજબૂત પરિવાર સમય, સન્માન અને એકબીજાને સાંભળવાની તૈયારીથી બને છે.",Premium greeting-card artwork for Family Values Day; cultural context: Indian; mood: Affection; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Lotus Pink,Royal Greeting,Winter,EN+GU,Draft,1.0,Evergreen
2026-02-01,Sunday,Indian Coast Guard Day,ભારતીય કોસ્ટ ગાર્ડ દિવસ,National Observance,Indian,Service,1,"Let the meaning of Indian Coast Guard Day guide us toward responsibility, respect and thoughtful action.","ભારતીય કોસ્ટ ગાર્ડ દિવસનો અર્થ આપણને જવાબદારી, સન્માન અને વિચારપૂર્વકના કાર્ય તરફ દોરી જાય.",Premium greeting-card artwork for Indian Coast Guard Day; cultural context: Indian; mood: Service; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Peacock Royal,Classic Heritage,Winter,EN+GU,Draft,1.0,Named Occasion
2026-02-02,Monday,World Wetlands Day,વિશ્વ આર્દ્રભૂમિ દિવસ,Environment,Global,Nature,1,"Let the meaning of World Wetlands Day guide us toward responsibility, respect and thoughtful action.","વિશ્વ આર્દ્રભૂમિ દિવસનો અર્થ આપણને જવાબદારી, સન્માન અને વિચારપૂર્વકના કાર્ય તરફ દોરી જાય.",Premium greeting-card artwork for World Wetlands Day; cultural context: Global; mood: Nature; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Monsoon Green,Nature Canvas,Winter,EN+GU,Draft,1.0,Named Occasion
2026-02-03,Tuesday,Unity Day,એકતા દિવસ,Indian Values,Indian,Unity,3,Differences become strength when people work together with mutual respect.,લોકો પરસ્પર સન્માનથી સાથે કામ કરે ત્યારે ભિન્નતા શક્તિ બની જાય છે.,Premium greeting-card artwork for Unity Day; cultural context: Indian; mood: Unity; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Royal Saffron,Classic Heritage,Winter,EN+GU,Draft,1.0,Evergreen
2026-02-04,Wednesday,Courage Day,હિંમત દિવસ,Everyday Inspiration,Indian,Courage,3,Courage is often a quiet decision to do what is right despite uncertainty.,હિંમત ઘણીવાર અનિશ્ચિતતા છતાં યોગ્ય કાર્ય કરવાની શાંત પસંદગી હોય છે.,Premium greeting-card artwork for Courage Day; cultural context: Indian; mood: Courage; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Midnight Indigo,Modern Editorial,Winter,EN+GU,Draft,1.0,Evergreen
2026-02-05,Thursday,Nature Appreciation Day,પ્રકૃતિ કદર દિવસ,Environment,Indian,Nature,3,"When we care for nature, we protect the inheritance of generations yet to come.",અપણે પ્રકૃતિની કાળજી લઈએ ત્યારે આવતી પેઢીઓનો વારસો સુરક્ષિત કરીએ છીએ.,Premium greeting-card artwork for Nature Appreciation Day; cultural context: Indian; mood: Nature; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Monsoon Green,Nature Canvas,Winter,EN+GU,Draft,1.0,Evergreen
2026-02-06,Friday,Purposeful Day,હેતુપૂર્ણ દિવસ,Everyday Inspiration,Indian,Purpose,3,A meaningful day begins when one clear intention guides every small action.,દરેક નાનાં કાર્યને એક સ્પષ્ટ હેતુ દિશા આપે ત્યારે દિવસ અર્થપૂર્ણ બને છે.,Premium greeting-card artwork for Purposeful Day; cultural context: Indian; mood: Purpose; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Heritage Sandstone,Modern Editorial,Winter,EN+GU,Draft,1.0,Evergreen
2026-02-07,Saturday,Character Day,ચારિત્ર્ય દિવસ,Indian Values,Indian,Integrity,3,"Character is built quietly, through choices made when no one is watching.","ચારિત્ર્ય શાંતિથી બને છે—ખાસ કરીને ત્યારે, જ્યારે કોઈ જોઈ રહ્યું ન હોય અને આપણે યોગ્ય પસંદગી કરીએ.",Premium greeting-card artwork for Character Day; cultural context: Indian; mood: Integrity; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Heritage Sandstone,Classic Heritage,Winter,EN+GU,Draft,1.0,Evergreen
2026-02-08,Sunday,Gratitude Day,કૃતજ્ઞતા દિવસ,Indian Values,Indian,Gratitude,3,Gratitude does not reduce ambition; it gives ambition a peaceful foundation.,કૃતજ્ઞતા મહત્ત્વાકાંક્ષાને ઘટાડતી નથી; તે તેને શાંતિપૂર્ણ આધાર આપે છે.,Premium greeting-card artwork for Gratitude Day; cultural context: Indian; mood: Gratitude; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Lotus Pink,Royal Greeting,Winter,EN+GU,Draft,1.0,Evergreen
2026-02-09,Monday,Learning Day,શીખવાનો દિવસ,Education,Indian,Wisdom,3,Every person we meet and every difficulty we face can become a teacher.,અપણે મળતા દરેક વ્યક્તિ અને સામનો કરતી દરેક મુશ્કેલી એક શિક્ષક બની શકે છે.,Premium greeting-card artwork for Learning Day; cultural context: Indian; mood: Wisdom; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Peacock Royal,Modern Editorial,Winter,EN+GU,Draft,1.0,Evergreen
2026-02-10,Tuesday,Safer Internet Day • World Pulses Day,સુરક્ષિત ઇન્ટરનેટ દિવસ • વિશ્વ કઠોળ દિવસ,Global Awareness,Global,Responsibility,1,"Let the meaning of Safer Internet Day • World Pulses Day guide us toward responsibility, respect and thoughtful action.","સુરક્ષિત ઇન્ટરનેટ દિવસ • વિશ્વ કઠોળ દિવસનો અર્થ આપણને જવાબદારી, સન્માન અને વિચારપૂર્વકના કાર્ય તરફ દોરી જાય.",Premium greeting-card artwork for Safer Internet Day • World Pulses Day; cultural context: Global; mood: Responsibility; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Peacock Royal,Modern Editorial,Winter,EN+GU,Draft,1.0,Named Occasion
2026-02-11,Wednesday,International Day of Women and Girls in Science,વિજ્ઞાનમાં મહિલાઓ અને બાળિકાઓનો આંતરરાષ્ટ્રીય દિવસ,Science and Equality,Global,Empowerment,1,"Let the meaning of International Day of Women and Girls in Science guide us toward responsibility, respect and thoughtful action.","વિજ્ઞાનમાં મહિલાઓ અને બાળિકાઓનો આંતરરાષ્ટ્રીય દિવસનો અર્થ આપણને જવાબદારી, સન્માન અને વિચારપૂર્વકના કાર્ય તરફ દોરી જાય.",Premium greeting-card artwork for International Day of Women and Girls in Science; cultural context: Global; mood: Empowerment; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Lotus Pink,Modern Editorial,Winter,EN+GU,Draft,1.0,Named Occasion
2026-02-12,Thursday,Family Values Day,પરિવાર મૂલ્યો દિવસ,Family,Indian,Affection,3,"A strong family is built through time, respect and the willingness to listen.","મજબૂત પરિવાર સમય, સન્માન અને એકબીજાને સાંભળવાની તૈયારીથી બને છે.",Premium greeting-card artwork for Family Values Day; cultural context: Indian; mood: Affection; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Lotus Pink,Royal Greeting,Winter,EN+GU,Draft,1.0,Evergreen
2026-02-13,Friday,World Radio Day,વિશ્વ રેડિયો દિવસ,Media and Culture,Global,Connection,1,"Let the meaning of World Radio Day guide us toward responsibility, respect and thoughtful action.","વિશ્વ રેડિયો દિવસનો અર્થ આપણને જવાબદારી, સન્માન અને વિચારપૂર્વકના કાર્ય તરફ દોરી જાય.",Premium greeting-card artwork for World Radio Day; cultural context: Global; mood: Connection; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Peacock Royal,Modern Editorial,Winter,EN+GU,Draft,1.0,Named Occasion
2026-02-14,Saturday,Valentine's Day,વેલેન્ટાઇન દિવસ,International Celebration,Western,Affection,1,"Let the meaning of Valentine's Day guide us toward responsibility, respect and thoughtful action.","વેલેન્ટાઇન દિવસનો અર્થ આપણને જવાબદારી, સન્માન અને વિચારપૂર્વકના કાર્ય તરફ દોરી જાય.",Premium greeting-card artwork for Valentine's Day; cultural context: Western; mood: Affection; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Lotus Pink,Royal Greeting,Winter,EN+GU,Draft,1.0,Named Occasion
2026-02-15,Sunday,Maha Shivaratri,મહાશિવરાત્રી,Religious Festival,Indian,Devotion,1,True strength is the calm that remains steady when the world around us is restless.,"સાચી શક્તિ એ શાંતિ છે, જે આસપાસની દુનિયા અશાંત હોય ત્યારે પણ અડગ રહે છે.",Premium greeting-card artwork for Maha Shivaratri; cultural context: Indian; mood: Devotion; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Midnight Indigo,Spiritual Serenity,Winter,EN+GU,Draft,1.0,Named Occasion
2026-02-16,Monday,Courage Day,હિંમત દિવસ,Everyday Inspiration,Indian,Courage,3,Courage is often a quiet decision to do what is right despite uncertainty.,હિંમત ઘણીવાર અનિશ્ચિતતા છતાં યોગ્ય કાર્ય કરવાની શાંત પસંદગી હોય છે.,Premium greeting-card artwork for Courage Day; cultural context: Indian; mood: Courage; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Midnight Indigo,Modern Editorial,Winter,EN+GU,Draft,1.0,Evergreen
2026-02-17,Tuesday,Nature Appreciation Day,પ્રકૃતિ કદર દિવસ,Environment,Indian,Nature,3,"When we care for nature, we protect the inheritance of generations yet to come.",અપણે પ્રકૃતિની કાળજી લઈએ ત્યારે આવતી પેઢીઓનો વારસો સુરક્ષિત કરીએ છીએ.,Premium greeting-card artwork for Nature Appreciation Day; cultural context: Indian; mood: Nature; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Monsoon Green,Nature Canvas,Winter,EN+GU,Draft,1.0,Evergreen
2026-02-18,Wednesday,Purposeful Day,હેતુપૂર્ણ દિવસ,Everyday Inspiration,Indian,Purpose,3,A meaningful day begins when one clear intention guides every small action.,દરેક નાનાં કાર્યને એક સ્પષ્ટ હેતુ દિશા આપે ત્યારે દિવસ અર્થપૂર્ણ બને છે.,Premium greeting-card artwork for Purposeful Day; cultural context: Indian; mood: Purpose; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Heritage Sandstone,Modern Editorial,Winter,EN+GU,Draft,1.0,Evergreen
2026-02-19,Thursday,Character Day,ચારિત્ર્ય દિવસ,Indian Values,Indian,Integrity,3,"Character is built quietly, through choices made when no one is watching.","ચારિત્ર્ય શાંતિથી બને છે—ખાસ કરીને ત્યારે, જ્યારે કોઈ જોઈ રહ્યું ન હોય અને આપણે યોગ્ય પસંદગી કરીએ.",Premium greeting-card artwork for Character Day; cultural context: Indian; mood: Integrity; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Heritage Sandstone,Classic Heritage,Winter,EN+GU,Draft,1.0,Evergreen
2026-02-20,Friday,World Day of Social Justice • Arunachal Pradesh Foundation Day,વિશ્વ સામાજિક ન્યાય દિવસ • અરુણાચલ પ્રદેશ સ્થાપના દિવસ,Social and Regional,Indian,Justice,1,"Let the meaning of World Day of Social Justice • Arunachal Pradesh Foundation Day guide us toward responsibility, respect and thoughtful action.","વિશ્વ સામાજિક ન્યાય દિવસ • અરુણાચલ પ્રદેશ સ્થાપના દિવસનો અર્થ આપણને જવાબદારી, સન્માન અને વિચારપૂર્વકના કાર્ય તરફ દોરી જાય.",Premium greeting-card artwork for World Day of Social Justice • Arunachal Pradesh Foundation Day; cultural context: Indian; mood: Justice; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Heritage Sandstone,Modern Editorial,Winter,EN+GU,Draft,1.0,Named Occasion
