Date,Day,Occasion_English,Occasion_Gujarati,Category,Cultural_Context,Visual_Mood,Priority,Message_English,Message_Gujarati,Illustration_Prompt,Palette,Style,Season,Language,Approval_Status,Version,Record_Type,Emotion,Why_This_Day,Gujarati_Editorial_Status,Message_ID
2026-01-19,Monday,Courage Day,હિંમત દિવસ,Everyday Inspiration,Indian,Courage,3,Courage is often a quiet decision to do what is right. Take the necessary step even if confidence is not perfect.,"હિંમત ઘણી વાર શોર નહીં, પરંતુ સાચું કરવાની શાંત પસંદગી હોય છે. પૂરો આત્મવિશ્વાસ ન હોય તો પણ જરૂરી પગલું भरो.",Premium greeting-card artwork for Family Values Day; cultural context: Indian; mood: Affection; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Midnight Indigo,Modern Editorial,Winter,EN+GU,Draft,1.0,Evergreen,Courage,"Family Values Day is presented in this working calendar as a day for thoughtful reflection, cultural respect and positive action.",Natural spoken Gujarati — reviewed,EVERGREEN-011
2026-01-20,Tuesday,Nature Appreciation Day,પ્રકૃતિ કદર દિવસ,Environment,Indian,Nature,3,Caring for nature protects the inheritance of future generations. Reduce one avoidable wasteful habit today.,પ્રકૃતિની કાળજી લઈએ ત્યારે આવતી પેઢીઓનો વારસો બચાવીએ છીએ. આજે એક બિનજરૂરી બગાડતી ટેવ ઘટાડો.,Premium greeting-card artwork for Service Day; cultural context: Indian; mood: Service; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Monsoon Green,Nature Canvas,Winter,EN+GU,Draft,1.0,Evergreen,Nature,"Service Day is presented in this working calendar as a day for thoughtful reflection, cultural respect and positive action.",Natural spoken Gujarati — reviewed,EVERGREEN-012
2026-01-21,Wednesday,Purposeful Day,હેતુપૂર્ણ દિવસ,Everyday Inspiration,Indian,Purpose,3,"When the purpose is clear, ordinary work begins to feel meaningful. Choose one worthwhile task and do it well today.",મન એકાગ્ર હોય તો સામાન્ય દિવસ પણ કામનો બની જાય છે. આજે એક સારું કામ પસંદ કરો અને દિલથી પૂરું કરો.,Premium greeting-card artwork for Patience Day; cultural context: Indian; mood: Calm; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Heritage Sandstone,Modern Editorial,Winter,EN+GU,Draft,1.0,Evergreen,Purpose,"Patience Day is presented in this working calendar as a day for thoughtful reflection, cultural respect and positive action.",Natural spoken Gujarati — reviewed,EVERGREEN-013
2026-01-22,Thursday,Character Day,ચારિત્ર્ય દિવસ,Indian Values,Indian,Integrity,3,The strongest reputation begins with private honesty. Do the right thing even when it brings no applause.,સાચી ઈમાનદારી એ છે કે એકલા હોઈએ ત્યારે પણ ખોટું ન કરીએ. વખાણ ન મળે તો પણ સાચું કામ કરો.,Premium greeting-card artwork for Unity Day; cultural context: Indian; mood: Unity; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Heritage Sandstone,Classic Heritage,Winter,EN+GU,Draft,1.0,Evergreen,Integrity,"Unity Day is presented in this working calendar as a day for thoughtful reflection, cultural respect and positive action.",Natural spoken Gujarati — reviewed,EVERGREEN-014
2026-01-23,Friday,Vasant Panchami • Parakram Diwas,વસંત પંચમી • પરાક્રમ દિવસ,Festival and National,Indian,Wisdom,1,"Let the meaning of Vasant Panchami • Parakram Diwas guide us toward responsibility, respect and thoughtful action.","વસંત પંચમી • પરાક્રમ દિવસનો અર્થ આપણને જવાબદારી, સન્માન અને વિચારપૂર્વકના કાર્ય તરફ દોરી જાય.",Premium greeting-card artwork for Vasant Panchami • Parakram Diwas; cultural context: Indian; mood: Wisdom; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Royal Saffron,Classic Heritage,Winter,EN+GU,Draft,1.0,Named Occasion,Wisdom,"Vasant Panchami • Parakram Diwas is presented in this working calendar as a day for thoughtful reflection, cultural respect and positive action.",Festival wording — review before final,OCCASION-2026-01-23
2026-01-24,Saturday,National Girl Child Day • International Day of Education,રાષ્ટ્રીય બાળિકા દિવસ • આંતરરાષ્ટ્રીય શિક્ષણ દિવસ,Social and Education,Indian,Empowerment,1,"Let the meaning of National Girl Child Day • International Day of Education guide us toward responsibility, respect and thoughtful action.","રાષ્ટ્રીય બાળિકા દિવસ • આંતરરાષ્ટ્રીય શિક્ષણ દિવસનો અર્થ આપણને જવાબદારી, સન્માન અને વિચારપૂર્વકના કાર્ય તરફ દોરી જાય.",Premium greeting-card artwork for National Girl Child Day • International Day of Education; cultural context: Indian; mood: Empowerment; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Lotus Pink,Modern Editorial,Winter,EN+GU,Draft,1.0,Named Occasion,Empowerment,"National Girl Child Day • International Day of Education is presented in this working calendar as a day for thoughtful reflection, cultural respect and positive action.",Festival wording — review before final,OCCASION-2026-01-24
2026-01-25,Sunday,National Voters' Day,રાષ્ટ્રીય મતદાતા દિવસ,Civic,Indian,Responsibility,1,"Let the meaning of National Voters' Day guide us toward responsibility, respect and thoughtful action.","રાષ્ટ્રીય મતદાતા દિવસનો અર્થ આપણને જવાબદારી, સન્માન અને વિચારપૂર્વકના કાર્ય તરફ દોરી જાય.",Premium greeting-card artwork for National Voters' Day; cultural context: Indian; mood: Responsibility; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Heritage Sandstone,Classic Heritage,Winter,EN+GU,Draft,1.0,Named Occasion,Responsibility,"National Voters' Day is presented in this working calendar as a day for thoughtful reflection, cultural respect and positive action.",Festival wording — review before final,OCCASION-2026-01-25
2026-01-26,Monday,Republic Day,પ્રજાસત્તાક દિવસ,National,Indian,Pride,1,A Constitution gives a nation its structure; responsible citizens give it strength.,"બંધારણ દેશનો આધાર છે, પરંતુ જવાબદાર નાગરિકો તેની સાચી તાકાત છે.",Premium greeting-card artwork for Republic Day; cultural context: Indian; mood: Pride; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Royal Saffron,Classic Heritage,Winter,EN+GU,Draft,1.0,Named Occasion,Pride,"India became a republic on 26 January 1950 when the Constitution came into effect. The day honours constitutional values, democratic responsibility and the dignity of every citizen.",Festival wording — review before final,OCCASION-2026-01-26
2026-01-27,Tuesday,Holocaust Remembrance Day,હોલોકોસ્ટ સ્મૃતિ દિવસ,International Observance,Global,Reflection,1,"Let the meaning of Holocaust Remembrance Day guide us toward responsibility, respect and thoughtful action.","હોલોકોસ્ટ સ્મૃતિ દિવસનો અર્થ આપણને જવાબદારી, સન્માન અને વિચારપૂર્વકના કાર્ય તરફ દોરી જાય.",Premium greeting-card artwork for Holocaust Remembrance Day; cultural context: Global; mood: Reflection; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Midnight Indigo,Modern Editorial,Winter,EN+GU,Draft,1.0,Named Occasion,Reflection,"Holocaust Remembrance Day is presented in this working calendar as a day for thoughtful reflection, cultural respect and positive action.",Festival wording — review before final,OCCASION-2026-01-27
2026-01-28,Wednesday,Gratitude Day,કૃતજ્ઞતા દિવસ,Indian Values,Indian,Gratitude,3,A thankful heart sees abundance where others see routine. Pause today and thank someone whose care often goes unnoticed.,"કૃતજ્ઞ મન સામાન્ય બાબતમાં પણ આશીર્વાદ શોધી લે છે. આજે એવા કોઈને આભાર કહો, જેમની કાળજી આપણે ઘણી વાર સ્વાભાવિક માની લઈએ છીએ.",Premium greeting-card artwork for Learning Day; cultural context: Indian; mood: Wisdom; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Lotus Pink,Royal Greeting,Winter,EN+GU,Draft,1.0,Evergreen,Gratitude,"Learning Day is presented in this working calendar as a day for thoughtful reflection, cultural respect and positive action.",Natural spoken Gujarati — reviewed,EVERGREEN-015
2026-01-29,Thursday,Learning Day,શીખવાનો દિવસ,Education,Indian,Wisdom,3,Learning continues when curiosity remains stronger than ego. Ask one question today without being afraid of not knowing.,અહંકાર કરતાં જિજ્ઞાસા મોટી રહે ત્યારે શીખવાનું ચાલુ રહે છે. આજે કંઈ ખબર ન હોય તો નિઃસંકોચ પૂછો.,Premium greeting-card artwork for Kindness Day; cultural context: Indian; mood: Compassion; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Peacock Royal,Modern Editorial,Winter,EN+GU,Draft,1.0,Evergreen,Wisdom,"Kindness Day is presented in this working calendar as a day for thoughtful reflection, cultural respect and positive action.",Natural spoken Gujarati — reviewed,EVERGREEN-016
2026-01-30,Friday,Martyrs' Day,શહીદ દિવસ,National Remembrance,Indian,Reflection,1,"Let the meaning of Martyrs' Day guide us toward responsibility, respect and thoughtful action.","શહીદ દિવસનો અર્થ આપણને જવાબદારી, સન્માન અને વિચારપૂર્વકના કાર્ય તરફ દોરી જાય.",Premium greeting-card artwork for Martyrs' Day; cultural context: Indian; mood: Reflection; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Heritage Sandstone,Classic Heritage,Winter,EN+GU,Draft,1.0,Named Occasion,Reflection,"Martyrs' Day is presented in this working calendar as a day for thoughtful reflection, cultural respect and positive action.",Festival wording — review before final,OCCASION-2026-01-30
2026-01-31,Saturday,Kindness Day,દયાનો દિવસ,Social Values,Indian,Compassion,3,Gentle words often reach places that advice cannot. Offer help before someone has to ask twice.,ક્યારેક બે મીઠા શબ્દો મોટી સલાહ કરતાં વધુ અસર કરે છે. કોઈને વારંવાર કહેવું ન પડે તે પહેલાં મદદનો હાથ આપો.,Premium greeting-card artwork for Family Values Day; cultural context: Indian; mood: Affection; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Lotus Pink,Royal Greeting,Winter,EN+GU,Draft,1.0,Evergreen,Compassion,"Family Values Day is presented in this working calendar as a day for thoughtful reflection, cultural respect and positive action.",Natural spoken Gujarati — reviewed,EVERGREEN-017
2026-02-01,Sunday,Indian Coast Guard Day,ભારતીય કોસ્ટ ગાર્ડ દિવસ,National Observance,Indian,Service,1,"Let the meaning of Indian Coast Guard Day guide us toward responsibility, respect and thoughtful action.","ભારતીય કોસ્ટ ગાર્ડ દિવસનો અર્થ આપણને જવાબદારી, સન્માન અને વિચારપૂર્વકના કાર્ય તરફ દોરી જાય.",Premium greeting-card artwork for Indian Coast Guard Day; cultural context: Indian; mood: Service; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Peacock Royal,Classic Heritage,Winter,EN+GU,Draft,1.0,Named Occasion,Service,"Indian Coast Guard Day is presented in this working calendar as a day for thoughtful reflection, cultural respect and positive action.",Festival wording — review before final,OCCASION-2026-02-01
2026-02-02,Monday,World Wetlands Day,વિશ્વ આર્દ્રભૂમિ દિવસ,Environment,Global,Nature,1,"Let the meaning of World Wetlands Day guide us toward responsibility, respect and thoughtful action.","વિશ્વ આર્દ્રભૂમિ દિવસનો અર્થ આપણને જવાબદારી, સન્માન અને વિચારપૂર્વકના કાર્ય તરફ દોરી જાય.",Premium greeting-card artwork for World Wetlands Day; cultural context: Global; mood: Nature; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Monsoon Green,Nature Canvas,Winter,EN+GU,Draft,1.0,Named Occasion,Nature,"World Wetlands Day is presented in this working calendar as a day for thoughtful reflection, cultural respect and positive action.",Festival wording — review before final,OCCASION-2026-02-02
2026-02-03,Tuesday,Discipline Day,શિસ્ત દિવસ,Work Ethics,Indian,Determination,3,Consistency matters more than occasional bursts of effort. Complete the task you have been postponing.,ક્યારેક બહુ મહેનત કરતાં રોજ થોડું સતત કરવું વધુ કામ આવે છે. જે કામ વારંવાર મુલતવી રાખ્યું છે તે આજે પૂરું કરો.,Premium greeting-card artwork for Unity Day; cultural context: Indian; mood: Unity; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Midnight Indigo,Modern Editorial,Winter,EN+GU,Draft,1.0,Evergreen,Determination,"Unity Day is presented in this working calendar as a day for thoughtful reflection, cultural respect and positive action.",Natural spoken Gujarati — reviewed,EVERGREEN-018
2026-02-04,Wednesday,Family Values Day,પરિવાર મૂલ્યો દિવસ,Family,Indian,Affection,3,Love feels safest when people are heard without judgment. Give someone at home your full attention today.,નિર્ણય કર્યા વગર સાંભળવામાં આવે ત્યારે પ્રેમ વધુ સુરક્ષિત લાગે છે. આજે ઘરના કોઈને થોડો સમય પૂરા ધ્યાનથી સાંભળો.,Premium greeting-card artwork for Courage Day; cultural context: Indian; mood: Courage; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Lotus Pink,Royal Greeting,Winter,EN+GU,Draft,1.0,Evergreen,Affection,"Courage Day is presented in this working calendar as a day for thoughtful reflection, cultural respect and positive action.",Natural spoken Gujarati — reviewed,EVERGREEN-019
2026-02-05,Thursday,Service Day,સેવાનો દિવસ,Social Responsibility,Indian,Service,3,Useful work done quietly often creates the deepest impact. Do one useful thing today without announcing it.,શાંતિથી કરેલું કામ ઘણી વાર સૌથી ઊંડી અસર કરે છે. આજે એક કામ કોઈને કહ્યા વગર કરી આપો.,Premium greeting-card artwork for Nature Appreciation Day; cultural context: Indian; mood: Nature; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Royal Saffron,Classic Heritage,Winter,EN+GU,Draft,1.0,Evergreen,Service,"Nature Appreciation Day is presented in this working calendar as a day for thoughtful reflection, cultural respect and positive action.",Natural spoken Gujarati — reviewed,EVERGREEN-020
2026-02-06,Friday,Patience Day,ધીરજ દિવસ,Everyday Inspiration,Indian,Calm,3,Some results need time even when the work is being done correctly. Continue the process without judging it too early.,કામ સાચું ચાલતું હોય તો પણ કેટલાક પરિણામને સમય લાગે છે. પરિણામ વહેલું ન દેખાય તો પણ પ્રક્રિયા ચાલુ રાખો.,Premium greeting-card artwork for Purposeful Day; cultural context: Indian; mood: Purpose; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Monsoon Green,Spiritual Serenity,Winter,EN+GU,Draft,1.0,Evergreen,Calm,"Purposeful Day is presented in this working calendar as a day for thoughtful reflection, cultural respect and positive action.",Natural spoken Gujarati — reviewed,EVERGREEN-021
2026-02-07,Saturday,Unity Day,એકતા દિવસ,Indian Values,Indian,Unity,3,Unity does not require sameness; it requires cooperation. Work with someone whose approach differs from yours.,એકતા માટે બધાં સરખાં હોવું જરૂરી નથી; સાથે કામ કરવાની તૈયારી જરૂરી છે. આજે તમારી રીતથી અલગ રીતે કામ કરનાર સાથે સહકાર આપો.,Premium greeting-card artwork for Character Day; cultural context: Indian; mood: Integrity; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Royal Saffron,Classic Heritage,Winter,EN+GU,Draft,1.0,Evergreen,Unity,"Character Day is presented in this working calendar as a day for thoughtful reflection, cultural respect and positive action.",Natural spoken Gujarati — reviewed,EVERGREEN-022
